Topic,Description,Timeframe,Format & Resolution,Methods,Dataset,Github (this analysis)
Rainfall Variability,"CHIRPS v2.0 daily rainfall data for the period 2010-2023 was summed annually, the mean and standard deviation (SD) of this time-series was used to calculate rainfall coefficient of variation  (CV = SD/mean).",2010-2023,GeoTIFF 0.05° (~5 km),https://www.nature.com/articles/sdata201566,https://data.chc.ucsb.edu/products/CHIRPS-2.0/,https://github.com/EiA2030/climate_prioritization/blob/main/R/1_download_process_hazards.R
Flood Risk,Flood hazard maps showing areas inundated during a 20-year return period flood event.,Historical baseline (return-period simulation),GeoTIFF 0.0083° (~1 km),https://doi.org/10.1016/j.advwatres.2016.05.002,https://data.jrc.ec.europa.eu/dataset/jrc-floods-floodmapgl_rp20y-tif,https://github.com/EiA2030/climate_prioritization/blob/main/R/1_download_process_hazards.R
Drought,GDO Risk of Drought Impacts for Agriculture (RDrI-Agri) dataset based on remote sensing data from 2010-2024.,2010-2024,GeoTIFF 1° (~ 111 km),https://doi.org/10.5194/nhess-20-695-2020,"https://drought.emergency.copernicus.eu/
http://data.europa.eu/89h/b4727c91-955f-4e2f-b0cf-dd64145b57e7",https://github.com/EiA2030/climate_prioritization/blob/main/R/1_download_process_hazards.R
Heat Stress,"Derived from AgERA5, the number of days per month above a critical temperature threshold. We have used a 35° threshold in the interactive tool.",2010-2023,GeoTIFF 0.1° (~ 11 km),https://doi.org/10.24381/cds.6c68c9bb,https://cds.climate.copernicus.eu/cdsapp#!/dataset/sis-agrometeorological-indicators,https://github.com/EiA2030/climate_prioritization/blob/main/R/1_download_process_hazards.R
Growing Season Reduction,Growing season length in days for baseline and future scenario rcp 2.6.,RCP 2.6 2050 vs baseline (1981–2010),GeoTIFF 0.083° (~9 km),https://pure.iiasa.ac.at/id/eprint/17175/,https://gaez.fao.org/,https://github.com/EiA2030/climate_prioritization/blob/main/R/1_download_process_hazards.R
Water Stress,Baseline water stress from WRI Aqueduct (bwd); categories 2–4 (moderate to extreme) are flagged as hazard presence after resampling to the crop calendar grid and reclassification to binary stress.,1979–2019 baseline (2019 reference),GeoTIFF 0.083° (~9 km),https://www.wri.org/research/aqueduct-40-updated-decision-relevant-global-water-risk-indicators,https://developers.google.com/earth-engine/datasets/catalog/WRI_Aqueduct_Water_Risk_V4_baseline_annual#table-schema,https://github.com/EiA2030/climate_prioritization/blob/main/R/1_download_process_hazards.R
Global Crop Value and Harvested Area,Global spatial production allocation model estimating crop-specific production and harvested area.,2019-2021,GeoTIFF 0.05° (~5 km),https://doi.org/10.1016/j.agsy.2004.07.009,https://doi.org/10.7910/DVN/SWPENT,https://github.com/EiA2030/climate_prioritization/blob/main/R/0_create_global_crop_vop.R
Africa Crop Value and Harvested Area,Africa-specific spatial production allocation model commissioned by the Africa Agricultural Adaptation Atlas.,2019-2021,GeoTIFF 0.05° (~5 km),https://doi.org/10.1016/j.agsy.2004.07.009,https://radiantearth.github.io/stac-browser/#/external/digital-atlas.s3.amazonaws.com/stac/public_stac/exposure_catalog/catalog.json,https://github.com/EiA2030/climate_prioritization/blob/main/R/0_create_ssa_crop_vop.R
GCCMI Crop Calendars (Rainfed Maize),"Rainfed maize crop planting and maturity days, provided as Julian days.",1981-2010,NetCDF 0.05° (~5 km),https://www.nature.com/articles/s43016-021-00400-y,https://zenodo.org/record/5062513/files/mai_rf_ggcmi_crop_calendar_phase3_v1.01.nc4,https://github.com/EiA2030/climate_prioritization/blob/main/R/1_download_process_hazards.R
GCCMI Crop Calendars (Irrigated Maize),"Irrigated maize crop planting and maturity days, provided as Julian days.",1981-2010,NetCDF 0.05° (~5 km),https://www.nature.com/articles/s43016-021-00400-y,https://zenodo.org/record/5062513/files/mai_ir_ggcmi_crop_calendar_phase3_v1.01.nc4,https://github.com/EiA2030/climate_prioritization/blob/main/R/1_download_process_hazards.R
CGIAR Boundaries,Administrative boundaries for aggregation and analysis.,Current (static),GeoJSON,NA,https://s3.amazonaws.com/digital-atlas/boundaries/eia_climate_prioritization/CGIAR_countries_simplified.geojson,https://github.com/EiA2030/climate_prioritization/blob/main/R/2_extract_vop_x_hazard.R
